"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"11_1_20250104","1","1","1","1","1","0","0","20250104","20250419"
"11_4_20250104","0","0","0","0","0","1","0","20250104","20250419"
"11_7_20250104","0","0","0","0","0","0","1","20250104","20250419"
"11_1_20250420","1","1","1","1","1","0","0","20250420","20250425"
"11_4_20250420","0","0","0","0","0","1","0","20250420","20250425"
"11_7_20250420","0","0","0","0","0","0","1","20250420","20250425"
"11_1_20250426","1","1","1","1","1","0","0","20250426","20250426"
"11_4_20250426","0","0","0","0","0","1","0","20250426","20250426"
"11_7_20250426","0","0","0","0","0","0","1","20250426","20250426"
"11_1_20250427","1","1","1","1","1","0","0","20250427","20250502"
"11_4_20250427","0","0","0","0","0","1","0","20250427","20250502"
"11_7_20250427","0","0","0","0","0","0","1","20250427","20250502"
"11_1_20250503","1","1","1","1","1","0","0","20250503","20250804"
"11_4_20250503","0","0","0","0","0","1","0","20250503","20250804"
"11_7_20250503","0","0","0","0","0","0","1","20250503","20250804"
"12_2_20250104","1","1","1","1","1","0","0","20250104","20250419"
"12_5_20250104","0","0","0","0","0","1","0","20250104","20250419"
"12_8_20250104","0","0","0","0","0","0","1","20250104","20250419"
"12_2_20250420","1","1","1","1","1","0","0","20250420","20250425"
"12_5_20250420","0","0","0","0","0","1","0","20250420","20250425"
"12_8_20250420","0","0","0","0","0","0","1","20250420","20250425"
"12_2_20250426","1","1","1","1","1","0","0","20250426","20250426"
"12_5_20250426","0","0","0","0","0","1","0","20250426","20250426"
"12_8_20250426","0","0","0","0","0","0","1","20250426","20250426"
"12_2_20250427","1","1","1","1","1","0","0","20250427","20250502"
"12_5_20250427","0","0","0","0","0","1","0","20250427","20250502"
"12_8_20250427","0","0","0","0","0","0","1","20250427","20250502"
"12_2_20250503","1","1","1","1","1","0","0","20250503","20250804"
"12_5_20250503","0","0","0","0","0","1","0","20250503","20250804"
"12_8_20250503","0","0","0","0","0","0","1","20250503","20250804"
"13_3_20250104","1","1","1","1","1","0","0","20250104","20250419"
"13_6_20250104","0","0","0","0","0","1","0","20250104","20250419"
"13_9_20250104","0","0","0","0","0","0","1","20250104","20250419"
"13_3_20250420","1","1","1","1","1","0","0","20250420","20250425"
"13_6_20250420","0","0","0","0","0","1","0","20250420","20250425"
"13_9_20250420","0","0","0","0","0","0","1","20250420","20250425"
"13_3_20250426","1","1","1","1","1","0","0","20250426","20250426"
"13_6_20250426","0","0","0","0","0","1","0","20250426","20250426"
"13_9_20250426","0","0","0","0","0","0","1","20250426","20250426"
"13_3_20250427","1","1","1","1","1","0","0","20250427","20250502"
"13_6_20250427","0","0","0","0","0","1","0","20250427","20250502"
"13_9_20250427","0","0","0","0","0","0","1","20250427","20250502"
"13_3_20250503","1","1","1","1","1","0","0","20250503","20250804"
"13_6_20250503","0","0","0","0","0","1","0","20250503","20250804"
"13_9_20250503","0","0","0","0","0","0","1","20250503","20250804"
