"service_id","date","exception_type"
"11_1_20260606","20260720","2"
"11_7_20260606","20260720","1"
"11_1_20260606","20260811","2"
"11_7_20260606","20260811","1"
"11_1_20260606","20260813","2"
"11_7_20260606","20260813","1"
"11_1_20260606","20260814","2"
"11_7_20260606","20260814","1"
"11_4_20260606","20260815","2"
"11_7_20260606","20260815","1"
"11_1_20260606","20260921","2"
"11_7_20260606","20260921","1"
"11_1_20260606","20260922","2"
"11_7_20260606","20260922","1"
"11_1_20260606","20260923","2"
"11_7_20260606","20260923","1"
"12_2_20260606","20260720","2"
"12_8_20260606","20260720","1"
"12_2_20260606","20260811","2"
"12_8_20260606","20260811","1"
"12_2_20260606","20260813","2"
"12_8_20260606","20260813","1"
"12_2_20260606","20260814","2"
"12_8_20260606","20260814","1"
"12_5_20260606","20260815","2"
"12_8_20260606","20260815","1"
"12_2_20260606","20260921","2"
"12_8_20260606","20260921","1"
"12_2_20260606","20260922","2"
"12_8_20260606","20260922","1"
"12_2_20260606","20260923","2"
"12_8_20260606","20260923","1"
"13_3_20260606","20260720","2"
"13_9_20260606","20260720","1"
"13_3_20260606","20260811","2"
"13_9_20260606","20260811","1"
"13_3_20260606","20260813","2"
"13_9_20260606","20260813","1"
"13_3_20260606","20260814","2"
"13_9_20260606","20260814","1"
"13_6_20260606","20260815","2"
"13_9_20260606","20260815","1"
"13_3_20260606","20260921","2"
"13_9_20260606","20260921","1"
"13_3_20260606","20260922","2"
"13_9_20260606","20260922","1"
"13_3_20260606","20260923","2"
"13_9_20260606","20260923","1"
