"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","jp_parent_route_id"
"4001_1001_1_20240503","3330001008122","","O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1001_1_20240601","3330001008122","","O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1001_1_20240507","3330001008122","","O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1011_1_20240601","3330001008122","","O1-0：熊本駅→新町→上熊本駅→本荘町→熊本駅",,"3",,,,"第1環状線"
"4001_1011_1_20240507","3330001008122","","O1-0：熊本駅→新町→上熊本駅→本荘町→熊本駅",,"3",,,,"第1環状線"
"4001_1011_1_20240503","3330001008122","","O1-0：熊本駅→新町→上熊本駅→本荘町→熊本駅",,"3",,,,"第1環状線"
"4001_1041_1_20240503","3330001008122","","O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1041_1_20240601","3330001008122","","O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1041_1_20240507","3330001008122","","O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1051_1_20240601","3330001008122","","O1-0：熊本駅→新町→上熊本駅→本荘町→熊本駅",,"3",,,,"第1環状線"
"4001_1051_1_20240503","3330001008122","","O1-0：熊本駅→新町→上熊本駅→本荘町→熊本駅",,"3",,,,"第1環状線"
"4001_1051_1_20240507","3330001008122","","O1-0：熊本駅→新町→上熊本駅→本荘町→熊本駅",,"3",,,,"第1環状線"
"4001_1061_1_20240601","3330001008122","","O2-0：上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1061_1_20240507","3330001008122","","O2-0：上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4001_1061_1_20240503","3330001008122","","O2-0：上熊本駅→新町→熊本駅",,"3",,,,"第1環状線"
"4002_2141_1_20240503","3330001008122","","交通センター→熊本駅→蓮台寺",,"3",,,,"アクアドーム線"
"4002_2141_1_20240507","3330001008122","","西2：交通センター→熊本駅→蓮台寺",,"3",,,,"アクアドーム線"
"4002_2141_1_20240601","3330001008122","","西2：交通センター→熊本駅→蓮台寺",,"3",,,,"アクアドーム線"
"4002_2611_1_20240601","3330001008122","","西2：交通センター→蓮台寺→下近見→アクアドーム",,"3",,,,"アクアドーム線"
"4002_2611_1_20240507","3330001008122","","西2：交通センター→蓮台寺→下近見→アクアドーム",,"3",,,,"アクアドーム線"
"4002_2611_1_20240503","3330001008122","","交通センター→蓮台寺→下近見→アクアドーム",,"3",,,,"アクアドーム線"
"4003_1101_1_20240601","3330001008122","","A1-1：桜町バスターミナル→京町本丁→冨尾団地",,"3",,,,"富尾団地線"
"4003_1101_1_20240503","3330001008122","","A1-1：桜町バスターミナル→京町本丁→冨尾団地",,"3",,,,"富尾団地線"
"4003_1101_1_20240507","3330001008122","","A1-1：桜町バスターミナル→京町本丁→冨尾団地",,"3",,,,"富尾団地線"
"4003_1102_2_20240601","3330001008122","","A1-1：冨尾団地→京町本丁→桜町バスターミナル",,"3",,,,"富尾団地線"
"4003_1102_2_20240507","3330001008122","","A1-1：冨尾団地→京町本丁→桜町バスターミナル",,"3",,,,"富尾団地線"
"4003_1102_2_20240503","3330001008122","","A1-1：冨尾団地→京町本丁→桜町バスターミナル",,"3",,,,"富尾団地線"
"4003_1132_2_20240503","3330001008122","","A1-1：冨尾団地→京町本丁",,"3",,,,"富尾団地線"
"4003_1132_2_20240507","3330001008122","","A1-1：冨尾団地→京町本丁",,"3",,,,"富尾団地線"
"4003_1132_2_20240601","3330001008122","","A1-1：冨尾団地→京町本丁",,"3",,,,"富尾団地線"
"4004_2801_1_20240601","3330001008122","","B1-2：桜町バスターミナル→壺井橋→本妙寺電停→花園→柿原公民館",,"3",,,,"花園柿原線"
"4004_2801_1_20240507","3330001008122","","B1-2：桜町バスターミナル→壺井橋→本妙寺電停→花園→柿原公民館",,"3",,,,"花園柿原線"
"4004_2801_1_20240503","3330001008122","","B1-2：桜町バスターミナル→壺井橋→本妙寺電停→花園→柿原公民館",,"3",,,,"花園柿原線"
"4004_2802_2_20240601","3330001008122","","B1-2：柿原公民館→花園→本妙寺電停→壺井橋→桜町バスターミナル",,"3",,,,"花園柿原線"
"4004_2802_2_20240503","3330001008122","","B1-2：柿原公民館→花園→本妙寺電停→壺井橋→桜町バスターミナル",,"3",,,,"花園柿原線"
"4004_2802_2_20240507","3330001008122","","B1-2：柿原公民館→花園→本妙寺電停→壺井橋→桜町バスターミナル",,"3",,,,"花園柿原線"
"4004_2812_2_20240601","3330001008122","","B1-2：柿原公民館→花園→本妙寺電停",,"3",,,,"花園柿原線"
"4004_2812_2_20240507","3330001008122","","B1-2：柿原公民館→花園→本妙寺電停",,"3",,,,"花園柿原線"
"4004_2812_2_20240503","3330001008122","","B1-2：柿原公民館→花園→本妙寺電停",,"3",,,,"花園柿原線"
"4005_1421_1_20240507","3330001008122","","H3-2：長嶺団地→尾ノ上→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1421_1_20240503","3330001008122","","H3-2：長嶺団地→尾ノ上→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1421_1_20240601","3330001008122","","H3-2：長嶺団地→尾ノ上→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1422_2_20240601","3330001008122","","H3-2：桜町バスターミナル→県庁西門→尾ノ上小→長嶺団地",,"3",,,,"帯山線"
"4005_1422_2_20240503","3330001008122","","H3-2：桜町バスターミナル→県庁西門→尾ノ上小→長嶺団地",,"3",,,,"帯山線"
"4005_1422_2_20240507","3330001008122","","H3-2：桜町バスターミナル→県庁西門→尾ノ上小→長嶺団地",,"3",,,,"帯山線"
"4005_1431_1_20240601","3330001008122","","H3-3：託麻南→鉄工団地→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1431_1_20240507","3330001008122","","H3-3：託麻南→鉄工団地→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1431_1_20240503","3330001008122","","H3-3：託麻南→鉄工団地→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1432_2_20240507","3330001008122","","H3-3：桜町バスターミナル→県庁西門→鉄工団地→託麻南",,"3",,,,"帯山線"
"4005_1432_2_20240503","3330001008122","","H3-3：桜町バスターミナル→県庁西門→鉄工団地→託麻南",,"3",,,,"帯山線"
"4005_1432_2_20240601","3330001008122","","H3-3：桜町バスターミナル→県庁西門→鉄工団地→託麻南",,"3",,,,"帯山線"
"4005_1441_1_20240507","3330001008122","","H3-1：小峯営業所→日赤病院→帯山→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1441_1_20240503","3330001008122","","H3-1：小峯営業所→日赤病院→帯山→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
"4005_1441_1_20240601","3330001008122","","H3-1：小峯営業所→日赤病院→帯山→県庁西門→桜町バスターミナル",,"3",,,,"帯山線"
