"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"4008_3702_2_20240501","20240501","東本町",,"上熊本駅前"
"4022_2322_2_20240507","20240507","済生会病院",,"桜町バスターミナル"
"4017_4031_1_20240507","20240507","上熊本駅前",,"画図橋"
"4002_2611_1_20240503","20240503","桜町バスターミナル",,"アクアドーム"
"4020_4101_1_20240507","20240507","変電所前",,"長溝団地"
"4027_1211_1_20240401","20240401","小峯",,"蓮台寺"
"4013_3432_2_20240503","20240503","若葉小学校前",,"託麻まちづくりセンター前"
"4017_4022_2_20240503","20240503","小峯営業所",,"上熊本駅前"
"4009_5102_2_20240401","20240401","水前寺駅北口",,"城西校北"
"4027_1242_2_20240507","20240507","桜町バスターミナル",,"小峯"
"4012_1751_1_20240501","20240501","小峯営業所",,"小峯営業所"
"4005_1541_1_20240401","20240401","桜町バスターミナル",,"託麻南"
"4001_1051_1_20240401","20240401","熊本駅前",,"熊本駅前"
"4028_7701_1_20240507","20240507","熊本駅前",,"熊本駅前"
"4006_7502_2_20240507","20240507","長嶺団地",,"西部車庫"
"4007_3681_1_20240507","20240507","熊本駅前",,"熊本駅前"
"4009_5141_1_20240401","20240401","桜町バスターミナル",,"城西校北"
"4001_1001_1_20240401","20240401","熊本駅前",,"熊本駅前"
"4008_3711_1_20240401","20240401","昭和町（市道）",,"上熊本駅前"
"4025_4412_2_20240503","20240503","本山営業所",,"桜町バスターミナル"
"4010_4621_1_20240503","20240503","桜町バスターミナル",,"水前寺鳥居前"
"4007_3671_1_20240501","20240501","熊本駅前",,"県立劇場前"
"4025_4402_2_20240501","20240501","桜町バスターミナル",,"本山営業所"
"4027_1332_2_20240501","20240501","熊本駅前",,"三山荘"
"4007_3652_2_20240401","20240401","県立劇場前",,"熊本駅前"
"4027_1252_2_20240503","20240503","桜町バスターミナル",,"小峯"
"4013_3452_2_20240501","20240501","若葉小学校前",,"長嶺団地"
"4013_3461_1_20240507","20240507","山の神",,"健軍電停前"
"4017_4041_1_20240401","20240401","上熊本駅前",,"画図橋"
"4017_4042_2_20240501","20240501","画図橋",,"上熊本駅前"
"4030_7771_1_20240507","20240507","道の駅すいかの里",,"道の駅すいかの里"
"4012_2051_1_20240503","20240503","小峯営業所",,"長嶺団地"
"4013_3411_1_20240501","20240501","長嶺団地",,"長嶺団地"
"4025_4401_1_20240507","20240507","熊本駅前",,"桜町バスターミナル"
"4019_4212_2_20240501","20240501","上熊本営業所",,"桜町バスターミナル"
"4016_4801_1_20240501","20240501","熊本駅前",,"長嶺団地"
"4014_5002_2_20240401","20240401","長嶺小学校前",,"桜町バスターミナル"
"4033_5211_1_20240401","20240401","熊本駅前",,"免許センター"
"4007_3661_1_20240507","20240507","熊本駅前",,"熊本駅前"
"4014_5001_1_20240507","20240507","桜町バスターミナル",,"長嶺小学校前"
"4021_4521_1_20240507","20240507","桜町バスターミナル",,"桜町バスターミナル"
"4012_1712_2_20240507","20240507","小峯営業所",,"桜町バスターミナル"
"4020_4142_2_20240503","20240503","桜町バスターミナル",,"長溝団地"
"4006_7501_1_20240501","20240501","西部車庫",,"長嶺団地"
"4018_3902_2_20240401","20240401","小峯営業所",,"熊本駅前"
"4010_4652_2_20240501","20240501","水前寺鳥居前",,"本山営業所"
