"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code"
"100001_1",,"市役所前（熊本）",,"32.803623","130.70784","100001_1",,"0",,,,
"100001_2",,"市役所前（熊本）",,"32.803333","130.7071","100001_2",,"0",,,,
"100001_3",,"市役所前（熊本）",,"32.805454","130.70802","100001_3",,"0",,,,
"100002_1",,"桜町バスターミナル",,"32.800438","130.70398","100002_1",,"0",,,,"1"
"100002_2",,"桜町バスターミナル",,"32.79996","130.70389","100002_2",,"0",,,,"2"
"100002_3",,"桜町バスターミナル",,"32.8001","130.70395","100002_3",,"0",,,,"3"
"100002_4",,"桜町バスターミナル",,"32.80017","130.70398","100002_4",,"0",,,,"4"
"100002_5",,"桜町バスターミナル",,"32.800316","130.704","100002_5",,"0",,,,"5"
"100002_11",,"桜町バスターミナル",,"32.80077","130.70341","100002_11",,"0",,,,"11"
"100002_13",,"桜町バスターミナル",,"32.800835","130.70335","100002_13",,"0",,,,"13"
"100002_14",,"桜町バスターミナル",,"32.800457","130.70395","100002_14",,"0",,,,"14"
"100002_15",,"桜町バスターミナル",,"32.800385","130.70392","100002_15",,"0",,,,"15"
"100002_19",,"桜町バスターミナル",,"32.800182","130.70357","100002_19",,"0",,,,"19"
"100002_20",,"桜町バスターミナル",,"32.80024","130.70358","100002_20",,"0",,,,"20"
"100002_21",,"桜町バスターミナル",,"32.800354","130.7036","100002_21",,"0",,,,"21"
"100002_24",,"桜町バスターミナル",,"32.800514","130.70355","100002_24",,"0",,,,"24"
"100002_25",,"桜町バスターミナル",,"32.80044","130.70357","100002_25",,"0",,,,"25"
"100002_26",,"桜町バスターミナル",,"32.800377","130.70354","100002_26",,"0",,,,"26"
"100002_29",,"桜町バスターミナル",,"32.800106","130.70348","100002_29",,"0",,,,"29"
"100003_1",,"通町筋",,"32.802666","130.71098","100003_1",,"0",,,,
"100003_2",,"通町筋",,"32.803043","130.71161","100003_2",,"0",,,,
"100003_3",,"通町筋",,"32.80282","130.71152","100003_3",,"0",,,,
"100004_1",,"水道町",,"32.801884","130.71382","100004_1",,"0",,,,"1"
"100004_2",,"水道町",,"32.80209","130.71408","100004_2",,"0",,,,"2"
"100004_3",,"水道町",,"32.80219","130.71373","100004_3",,"0",,,,"3"
"100004_4",,"水道町",,"32.802788","130.71335","100004_4",,"0",,,,"4"
"100004_5",,"水道町",,"32.803","130.71313","100004_5",,"0",,,,"5"
"100005_1",,"新市街",,"32.797897","130.70547","100005_1",,"0",,,,
"100005_2",,"新市街",,"32.797993","130.7057","100005_2",,"0",,,,
"100006_1",,"本荘中通り",,"32.794212","130.70837","100006_1",,"0",,,,
"100006_2",,"本荘中通り",,"32.794483","130.7085","100006_2",,"0",,,,
"100007_1",,"本荘町",,"32.79233","130.7099","100007_1",,"0",,,,
"100007_2",,"本荘町",,"32.792385","130.71013","100007_2",,"0",,,,
"100007_3",,"本荘町",,"32.793423","130.70839","100007_3",,"0",,,,
"100007_4",,"本荘町",,"32.79364","130.70845","100007_4",,"0",,,,
"100008_1",,"春竹町",,"32.790134","130.71036","100008_1",,"0",,,,
"100008_2",,"春竹町",,"32.790134","130.71062","100008_2",,"0",,,,
"100009_1",,"春竹新道",,"32.788567","130.71065","100009_1",,"0",,,,
"100009_2",,"春竹新道",,"32.788704","130.71086","100009_2",,"0",,,,
"100011_1",,"萩原（熊本）",,"32.78248","130.70953","100011_1",,"0",,,,
"100011_2",,"萩原（熊本）",,"32.782337","130.7097","100011_2",,"0",,,,
"100012_1",,"ガス会社前",,"32.78004","130.71016","100012_1",,"0",,,,
"100012_2",,"ガス会社前",,"32.77924","130.71048","100012_2",,"0",,,,
"100013_2",,"田迎一里木",,"32.77454","130.71297","100013_2",,"0",,,,
