"trans_id","lang","translation"
"ANAクラウンプラザホテル熊本ニュースカイ","en","Ana Crowne Plaza Kumamoto New Sky"
"ANAクラウンプラザホテル熊本ニュースカイ","ja","ANAクラウンプラザホテル熊本ニュースカイ"
"ANAクラウンプラザホテル熊本ニュースカイ","ja-Hrkt","エーエヌエークラウンプラザホテルクマモトニュースカイ"
"Aso Milk Factory（はな阿蘇美）","en","Aso Milk Factory Hanaasomi"
"Aso Milk Factory（はな阿蘇美）","ja","Aso Milk Factory（はな阿蘇美）"
"Aso Milk Factory（はな阿蘇美）","ja-Hrkt","アソミルクファクトリーハナアソミ"
"JASM前","en","JASM Mae"
"JASM前","ja","JASM前"
"JASM前","ja-Hrkt","ジェーエーエスエムマエ"
"JAみなまた支所前","en","JA Minamata Shisho Mae"
"JAみなまた支所前","ja","JAみなまた支所前"
"JAみなまた支所前","ja-Hrkt","ジェイエイミナマタシショマエ"
"JT前","en","JT Mae"
"JT前","ja","JT前"
"JT前","ja-Hrkt","ジェイティーマエ"
"KKRホテル熊本前","en","Kkr Hotel Kumamoto Mae"
"KKRホテル熊本前","ja","KKRホテル熊本前"
"KKRホテル熊本前","ja-Hrkt","ケーケーアールホテルクマモトマエ"
"KMバイオ前（国道3号線）","en","KM Bio Mae"
"KMバイオ前（国道3号線）","ja","KMバイオ前（国道3号線）"
"KMバイオ前（国道3号線）","ja-Hrkt","ケーエムバイオマエ"
"KMバイオ前（飛田バイパス）","en","KM Bio Mae"
"KMバイオ前（飛田バイパス）","ja","KMバイオ前（飛田バイパス）"
"KMバイオ前（飛田バイパス）","ja-Hrkt","ケーエムバイオマエ"
"あさぎり町役場入口","en","Asagirimachi Yakuba Iriguchi"
"あさぎり町役場入口","ja","あさぎり町役場入口"
"あさぎり町役場入口","ja-Hrkt","アサギリマチヤクバイリグチ"
"あさぎり駅前","en","Asagiri Sta."
"あさぎり駅前","ja","あさぎり駅前"
"あさぎり駅前","ja-Hrkt","アサギリエキマエ"
"あさひヶ丘西（菊陽循環）","en","Asahigaoka Nishi"
"あさひヶ丘西（菊陽循環）","ja","あさひヶ丘西（菊陽循環）"
"あさひヶ丘西（菊陽循環）","ja-Hrkt","アサヒガオカニシ"
"あさひヶ丘（菊陽循環）","en","Asahigaoka"
"あさひヶ丘（菊陽循環）","ja","あさひヶ丘（菊陽循環）"
"あさひヶ丘（菊陽循環）","ja-Hrkt","アサヒガオカ"
"あさひヶ丘（菊陽）","en","Asahigaoka"
"あさひヶ丘（菊陽）","ja","あさひヶ丘（菊陽）"
"あさひヶ丘（菊陽）","ja-Hrkt","アサヒガオカ"
"あすばたけ","en","Asubatake"
"あすばたけ","ja","あすばたけ"
"あすばたけ","ja-Hrkt","アスバタケ"
"あそ☆ビバ前","en","Aso Viva Mae"
"あそ☆ビバ前","ja","あそ☆ビバ前"
"あそ☆ビバ前","ja-Hrkt","アソビバマエ"
"あそ望の郷くぎの","en","Asobonosatokugino"
"あそ望の郷くぎの","ja","あそ望の郷くぎの"
"あそ望の郷くぎの","ja-Hrkt","アソボウノサトクギノ"
"あべの橋バスステーション","en","Abenobashibussta"
"あべの橋バスステーション","ja","あべの橋バスステーション"
"あべの橋バスステーション","ja-Hrkt","アベノバシバスステーション"
"あまくさ村","en","Amakusa Mura"
"あまくさ村","ja","あまくさ村"
"あまくさ村","ja-Hrkt","アマクサムラ"
"あんこう","en","Anko"
"あんこう","ja","あんこう"
"あんこう","ja-Hrkt","アンコウ"
"いずみ美容室横","en","Izumi Biyoshitsu Yoko"
"いずみ美容室横","ja","いずみ美容室横"
"いずみ美容室横","ja-Hrkt","イズミビヨウシツヨコ"
"うから館前","en","Ukarakan Mae"
"うから館前","ja","うから館前"
"うから館前","ja-Hrkt","ウカラカンマエ"
"うしぶか心愛病院","en","Ushibuka Shinai Byoin(Ushibuka Shinai Hospital)"
"うしぶか心愛病院","ja","うしぶか心愛病院"
"うしぶか心愛病院","ja-Hrkt","ウシブカシンアイビョウイン"
"うしぶか温泉前","en","Ushibuka Onsen Mae"
"うしぶか温泉前","ja","うしぶか温泉前"
"うしぶか温泉前","ja-Hrkt","ウシブカオンセンマエ"
"うめど夕陽ヶ丘団地入口","en","Umedo Yuhigaoka Danchi Iriguchi"
"うめど夕陽ヶ丘団地入口","ja","うめど夕陽ヶ丘団地入口"
"うめど夕陽ヶ丘団地入口","ja-Hrkt","ウメドユウヒガオカダンチイリグチ"
"えびのインターチェンジ","en","Ebino I.C."
"えびのインターチェンジ","ja","えびのインターチェンジ"
"えびのインターチェンジ","ja-Hrkt","エビノインターチェンジ"
"おおがスイミング前","en","Oga Swinming Mae"
"おおがスイミング前","ja","おおがスイミング前"
"おおがスイミング前","ja-Hrkt","オオガスイミングマエ"
"おおきばる","en","Okibaru"
"おおきばる","ja","おおきばる"
"おおきばる","ja-Hrkt","オオキバル"
"おぐに老人保健施設前","en","Oguni Rojinhokenshisetsu Mae"
"おぐに老人保健施設前","ja","おぐに老人保健施設前"
"おぐに老人保健施設前","ja-Hrkt","オグニロウジンホケンシセツマエ"
"おれんじ館","en","Orange Kan"
"おれんじ館","ja","おれんじ館"
"おれんじ館","ja-Hrkt","オレンジカン"
"かこい（氷川）","en","Kakoi(Hikawa)"
"かこい（氷川）","ja","かこい（氷川）"
"かこい（氷川）","ja-Hrkt","カコイ"
"かこい（湯の浦）","en","Kakoi(Yunora)"
"かこい（湯の浦）","ja","かこい（湯の浦）"
"かこい（湯の浦）","ja-Hrkt","カコイ(ユノウラ)"
"かんかん坂入口","en","Kankanzaka Iriguchi"
"かんかん坂入口","ja","かんかん坂入口"
"かんかん坂入口","ja-Hrkt","カンカンザカイリグチ"
"きよらカァサ","en","Kiyora Kkasa"
"きよらカァサ","ja","きよらカァサ"
"きよらカァサ","ja-Hrkt","キヨラカアサ"
"くじゅう登山口","en","T.B.D."
"くじゅう登山口","ja","くじゅう登山口"
"くじゅう登山口","ja-Hrkt","クジュウトザングチ"
"くまもとエミナース前","en","Kumamoto Eminence Mae"
"くまもとエミナース前","ja","くまもとエミナース前"
"くまもとエミナース前","ja-Hrkt","クマモトエミナースマエ"
"くまもと南部広域病院前","en","Kumamoto Nanbu Koiki  Byoin Mae(Kumamoto Nanbu Koiki Hospital)"
"くまもと南部広域病院前","ja","くまもと南部広域病院前"
"くまもと南部広域病院前","ja-Hrkt","クマモトナンブコウイキビョウインマエ"
"くまもと工芸会館前（旧道）","en","Kumamoto Kogeikaikan Mae"
"くまもと工芸会館前（旧道）","ja","くまもと工芸会館前（旧道）"
"くまもと工芸会館前（旧道）","ja-Hrkt","クマモトコウゲイカイカンマエ"
"くまもと県北病院","en","Kumamoto Kenhoku Byoin(Kumamoto Kenhoku Hospital)"
"くまもと県北病院","ja","くまもと県北病院"
"くまもと県北病院","ja-Hrkt","クマモトケンホクビョウイン"
"けやき広場前","en","Keyaki Hiroba Mae"
"けやき広場前","ja","けやき広場前"
"けやき広場前","ja-Hrkt","ケヤキヒロバマエ"
"こども文化会館前","en","Kodomo Bunka Kaikan Mae"
"こども文化会館前","ja","こども文化会館前"
"こども文化会館前","ja-Hrkt","コドモブンカカイカンマエ"
"こやぶ","en","Koyabu"
"こやぶ","ja","こやぶ"
"こやぶ","ja-Hrkt","コヤブ"
"こんぴら入口","en","Konpira Iriguchi"
"こんぴら入口","ja","こんぴら入口"
"こんぴら入口","ja-Hrkt","コンピライリグチ"
"さざなみ保育園前","en","Sazanami Hoikuen Mae"
"さざなみ保育園前","ja","さざなみ保育園前"
"さざなみ保育園前","ja-Hrkt","サザナミホイクエンマエ"
"さざ波の湯","en","Sazanaminoyu"
"さざ波の湯","ja","さざ波の湯"
"さざ波の湯","ja-Hrkt","サザナミノユ"
"さんぱーる","en","Sunpearl"
"さんぱーる","ja","さんぱーる"
"さんぱーる","ja-Hrkt","サンパール"
"さんふれあ前（菊陽町循環）","en","Sanfurea Mae"
"さんふれあ前（菊陽町循環）","ja","さんふれあ前（菊陽町循環）"
"さんふれあ前（菊陽町循環）","ja-Hrkt","サンフレアマエ"
"さんふれあ前（菊陽）","en","Sanfurea Mae"
"さんふれあ前（菊陽）","ja","さんふれあ前（菊陽）"
"さんふれあ前（菊陽）","ja-Hrkt","サンフレアマエ"
"しろみづき荘前","en","Shiromizukiso Mae"
"しろみづき荘前","ja","しろみづき荘前"
"しろみづき荘前","ja-Hrkt","シロミヅキソウマエ"
"すずかけ台","en","Suzukakedai"
"すずかけ台","ja","すずかけ台"
"すずかけ台","ja-Hrkt","スズカケダイ"
"すずかけ台中央通り","en","Suzukakedai Chuodori"
"すずかけ台中央通り","ja","すずかけ台中央通り"
"すずかけ台中央通り","ja-Hrkt","スズカケダイチュウオウドオリ"
"すずかけ台入口","en","Suzukakedai Iriguchi"
"すずかけ台入口","ja","すずかけ台入口"
"すずかけ台入口","ja-Hrkt","スズカケダイイリグチ"
"すずかけ台北","en","Suzukakedai Kita"
"すずかけ台北","ja","すずかけ台北"
"すずかけ台北","ja-Hrkt","スズカケダイキタ"
"そべ石","en","Sobeishi"
"そべ石","ja","そべ石"
"そべ石","ja-Hrkt","ソベイシ"
"たけみや","en","Takemiya"
"たけみや","ja","たけみや"
"たけみや","ja-Hrkt","タケミヤ"
"たつだニュータウン前","en","Tatsuda New Town Mae"
"たつだニュータウン前","ja","たつだニュータウン前"
"たつだニュータウン前","ja-Hrkt","タツダニュータウンマエ"
"つつじヶ丘","en","Tsutsujigaoka"
"つつじヶ丘","ja","つつじヶ丘"
"つつじヶ丘","ja-Hrkt","ツツジガオカ"
"つなぎ温泉前","en","Tsunagi Onsen Mae"
"つなぎ温泉前","ja","つなぎ温泉前"
"つなぎ温泉前","ja-Hrkt","ツナギオンセンマエ"
"てんすい倶楽部前","en","Tensui Club Mae"
"てんすい倶楽部前","ja","てんすい倶楽部前"
"てんすい倶楽部前","ja-Hrkt","テンスイクラブマエ"
"とくさ口","en","Tokusaguchi"
"とくさ口","ja","とくさ口"
"とくさ口","ja-Hrkt","トクサグチ"
"とんとん峠","en","Tontontoge"
"とんとん峠","ja","とんとん峠"
"とんとん峠","ja-Hrkt","トントントウゲ"
"なんば・ＯＣＡＴビル","en","Namba Ocat Building"
"なんば・ＯＣＡＴビル","ja","なんば・ＯＣＡＴビル"
"なんば・ＯＣＡＴビル","ja-Hrkt","ナンバOCATビル"
"にしき園前","en","Nishikien Mae"
"にしき園前","ja","にしき園前"
"にしき園前","ja-Hrkt","ニシキエンマエ"
"はじの原","en","Hajinohara"
"はじの原","ja","はじの原"
"はじの原","ja-Hrkt","ハジノハラ"
"はぜ集荷所前","en","Haze Shukasho Mae"
"はぜ集荷所前","ja","はぜ集荷所前"
"はぜ集荷所前","ja-Hrkt","ハゼシュウカショマエ"
"はな阿蘇美","en","Hanaasobi"
"はな阿蘇美","ja","はな阿蘇美"
"はな阿蘇美","ja-Hrkt","ハナアソビ"
"はな阿蘇美入口","en","Hanaasobi Iriguchi"
"はな阿蘇美入口","ja","はな阿蘇美入口"
"はな阿蘇美入口","ja-Hrkt","ハナアソビイリグチ"
"はん田","en","Hanta"
"はん田","ja","はん田"
"はん田","ja-Hrkt","ハンタ"
"ひのくにふれあいセンター入口","en","Hinokuni Fureai Center Iriguchi"
"ひのくにふれあいセンター入口","ja","ひのくにふれあいセンター入口"
"ひのくにふれあいセンター入口","ja-Hrkt","ヒノクニフレアイセンターイリグチ"
"ひばりヶ丘（天草）","en","Hibarigaoka"
"ひばりヶ丘（天草）","ja","ひばりヶ丘（天草）"
"ひばりヶ丘（天草）","ja-Hrkt","ヒバリガオカ"
"ひばりヶ丘（熊本）","en","Hibarigaoka"
"ひばりヶ丘（熊本）","ja","ひばりヶ丘（熊本）"
"ひばりヶ丘（熊本）","ja-Hrkt","ヒバリガオカ"
"ひばりヶ丘（菊陽循環）","en","Hibarigaoka"
"ひばりヶ丘（菊陽循環）","ja","ひばりヶ丘（菊陽循環）"
"ひばりヶ丘（菊陽循環）","ja-Hrkt","ヒバリガオカ"
"ひばりヶ丘（菊陽）","en","Hibarigaoka"
"ひばりヶ丘（菊陽）","ja","ひばりヶ丘（菊陽）"
"ひばりヶ丘（菊陽）","ja-Hrkt","ヒバリガオカ"
"ふれあいセンター前","en","Fureai Center Mae"
"ふれあいセンター前","ja","ふれあいセンター前"
