"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"4001_1001_1_20250427","11_1_20250427","1_111000034_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000035_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000036_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000037_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000038_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000039_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000040_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000041_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000042_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000043_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000045_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000046_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000048_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000051_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000050_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000490_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000022_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111002370_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000025_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000061_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000059_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111001678_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000062_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000064_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000065_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_1_20250427","1_111000067_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000028_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000034_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000030_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000033_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000037_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000040_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000036_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000041_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000045_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000042_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000044_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000051_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000078_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000029_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000050_20250427","熊本駅前",,,,,,,"11"
"4001_1001_1_20250427","11_7_20250427","7_311000009_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000001_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000002_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000003_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000004_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000005_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000006_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000007_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000008_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000009_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000010_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000013_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000015_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000014_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000019_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000017_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000020_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000021_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000054_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000023_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000024_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000056_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000026_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000027_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000028_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111001675_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000032_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_1_20250427","1_111000033_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000001_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000002_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000005_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000003_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000007_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000008_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000015_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000012_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000014_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000021_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000017_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000020_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000016_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000019_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000024_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000026_20250427","熊本駅前",,,,,,,"11"
"4001_1011_1_20250427","11_7_20250427","7_311000027_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000089_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000090_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000091_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000092_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000093_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000094_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000096_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000097_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000098_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111002371_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000083_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000101_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000102_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000066_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_1_20250427","1_111000105_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000035_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000032_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311001196_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000073_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000074_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000076_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000075_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000080_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000023_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000031_20250427","熊本駅前",,,,,,,"11"
"4001_1041_1_20250427","11_7_20250427","7_311000010_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000071_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000072_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000073_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000074_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000075_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000077_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000078_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000080_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000081_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000082_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000100_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000084_20250427","熊本駅前",,,,,,,"11"
"4001_1051_1_20250427","11_1_20250427","1_111000085_20250427","熊本駅前",,,,,,,"11"
